"arxiv_id","title","category"
"2512.21336v1","Optimizing Decoding Paths in Masked Diffusion Models by Quantifying Uncertainty","cs.AI"
"2512.21332v1","C2LLM Technical Report: A New Frontier in Code Retrieval via Adaptive Cross-Attention Pooling","cs.AI"
"2512.21326v1","Measuring all the noises of LLM Evals","cs.AI"
"2512.21316v1","Scaling Laws for Economic Productivity: Experimental Evidence in LLM-Assisted Consulting, Data Analyst, and Management Tasks","cs.AI"
"2512.21288v1","Model Merging via Multi-Teacher Knowledge Distillation","cs.AI"
"2512.21280v1","SMART SLM: Structured Memory and Reasoning Transformer, A Small Language Model for Accurate Document Assistance","cs.AI"
"2512.21246v1","Learning Factors in AI-Augmented Education: A Comparative Study of Middle and High School Students","cs.AI"
"2512.21243v1","LookPlanGraph: Embodied Instruction Following Method with VLM Graph Augmentation","cs.AI"
"2512.21241v1","Improving the Convergence Rate of Ray Search Optimization for Query-Efficient Hard-Label Attacks","cs.AI"
"2512.21236v1","Casting a SPELL: Sentence Pairing Exploration for LLM Limitation-breaking","cs.AI"
"2512.21227v1","PhononBench:A Large-Scale Phonon-Based Benchmark for Dynamical Stability in Crystal Generation","cs.AI"
"2512.21221v1","Leveraging Lightweight Entity Extraction for Scalable Event-Based Image Retrieval","cs.AI"
"2512.21220v1","RoboSafe: Safeguarding Embodied Agents via Executable Safety Logic","cs.AI"
"2512.21204v1","SpidR-Adapt: A Universal Speech Representation Model for Few-Shot Adaptation","cs.AI"
"2512.21201v1","Schrödinger's Navigator: Imagining an Ensemble of Futures for Zero-Shot Object Navigation","cs.AI"
"2512.21165v1","BALLAST: Bandit-Assisted Learning for Latency-Aware Stable Timeouts in Raft","cs.AI"
"2512.21152v1","MODE: Multi-Objective Adaptive Coreset Selection","cs.AI"
"2512.21135v1","TGC-Net: A Structure-Aware and Semantically-Aligned Framework for Text-Guided Medical Image Segmentation","cs.AI"
"2512.21132v1","AutoBaxBuilder: Bootstrapping Code Security Benchmarking","cs.AI"
"2512.21127v1","A Real-World Evaluation of LLM Medication Safety Reviews in NHS Primary Care","cs.AI"
"2512.21118v1","STLDM: Spatio-Temporal Latent Diffusion Model for Precipitation Nowcasting","cs.AI"
"2512.21110v1","Beyond Context: Large Language Models Failure to Grasp Users Intent","cs.AI"
"2512.21107v1","Semi-Supervised Learning for Large Language Models Safety and Content Moderation","cs.AI"
"2512.21106v1","Semantic Refinement with LLMs for Graph Representations","cs.AI"
"2512.21099v1","TexAvatars : Hybrid Texel-3D Representations for Stable Rigging of Photorealistic Gaussian Head Avatars","cs.AI"
"2512.21080v1","LLM Personas as a Substitute for Field Experiments in Method Benchmarking","cs.AI"
"2512.21075v1","Understanding Scaling Laws in Deep Neural Networks via Feature Learning Dynamics","cs.AI"
"2512.21066v1","Agentic Explainable Artificial Intelligence (Agentic XAI) Approach To Explore Better Explanation","cs.AI"
"2512.21054v1","DexAvatar: 3D Sign Language Reconstruction with Hand and Body Pose Priors","cs.AI"
"2512.21024v1","Policy-Conditioned Policies for Multi-Agent Task Solving","cs.AI"
"2512.21017v1","Rethinking Supervised Fine-Tuning: Emphasizing Key Answer Tokens for Improved LLM Accuracy","cs.AI"
"2512.21010v1","LLM Swiss Round: Aggregating Multi-Benchmark Performance via Competitive Swiss-System Dynamics","cs.AI"
"2512.21002v1","Distilling the Essence: Efficient Reasoning Distillation via Sequence Truncation","cs.AI"
"2512.20996v1","TrafficSimAgent: A Hierarchical Agent Framework for Autonomous Traffic Simulation with MCP Control","cs.AI"
"2512.20991v1","FinAgent: An Agentic AI Framework Integrating Personal Finance and Nutrition Planning","cs.AI"
"2512.20985v1","A Blockchain-Monitored Agentic AI Architecture for Trusted Perception-Reasoning-Action Pipelines","cs.AI"
"2512.20983v1","Automatic Replication of LLM Mistakes in Medical Conversations","cs.AI"
"2512.20978v1","GenTSE: Enhancing Target Speaker Extraction via a Coarse-to-Fine Generative Language Model","cs.AI"
